Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue
SRR7221748,WGS,assembly,231,475519161,PRJNA437462,SAMN09267538,Model organism or animal,377018357,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,GB-38,SRX4128568,Illumina HiSeq 2500,GB-38,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000105_GB.bam,female,SRP149029,fin clip
SRR7221749,WGS,assembly,232,596292569,PRJNA437462,SAMN09267721,Model organism or animal,401876686,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,BB-10,SRX4128567,Illumina HiSeq 2500,BB-10,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000400_BB.bam,male,SRP149029,fin clip
SRR7221750,WGS,assembly,232,551984522,PRJNA437462,SAMN09267720,Model organism or animal,390386855,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,BB-9,SRX4128566,Illumina HiSeq 2500,BB-9,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000398_BB.bam,male,SRP149029,fin clip
SRR7221751,WGS,assembly,231,536426896,PRJNA437462,SAMN09267719,Model organism or animal,390940145,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,BB-8,SRX4128565,Illumina HiSeq 2500,BB-8,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000397_BB.bam,male,SRP149029,fin clip
SRR7221752,WGS,assembly,232,721147588,PRJNA437462,SAMN09267718,Model organism or animal,436465036,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Sexually mature adult,BNP-48,SRX4128564,Illumina HiSeq 2500,BNP-48,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000393_BNP.bam,female,SRP149029,fin clip
SRR7221753,WGS,assembly,231,714139217,PRJNA437462,SAMN09267717,Model organism or animal,437324051,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,BB-7,SRX4128563,Illumina HiSeq 2500,BB-7,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000392_BB.bam,male,SRP149029,fin clip
SRR7221754,WGS,assembly,232,600231971,PRJNA437462,SAMN09267716,Model organism or animal,403486365,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Sexually mature adult,BB-6,SRX4128562,Illumina HiSeq 2500,BB-6,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000391_BB.bam,male,SRP149029,fin clip
SRR7221755,WGS,assembly,231,643535821,PRJNA437462,SAMN09267715,Model organism or animal,422599706,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,BB-5,SRX4128561,Illumina HiSeq 2500,BB-5,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000390_BB.bam,male,SRP149029,fin clip
SRR7221756,WGS,assembly,231,508625581,PRJNA437462,SAMN09267714,Model organism or animal,383679240,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,BB-4,SRX4128560,Illumina HiSeq 2500,BB-4,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000386_BB.bam,male,SRP149029,fin clip
SRR7221757,WGS,assembly,230,578738097,PRJNA437462,SAMN09267713,Model organism or animal,406029874,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,BB-3,SRX4128559,Illumina HiSeq 2500,BB-3,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000384_BB.bam,male,SRP149029,fin clip
