Run,AGE,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Breed,Bytes,Center Name,Collection_date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Strain,Tissue
SRR4781320,Not applicable,WGS,assembly,199,5326689512,PRJNA323589,SAMN05930393,Model organism or animal,Not applicable,3176327609,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"bam,fasta,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,Block Island,SRX2313558,Illumina HiSeq 2500,BI-50,41.1818 N 71.5793 W,BI-50,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-17T00:00:00Z,BI-50,male,SRP092392,Not applicable,caudal fin
SRR4781324,Not applicable,WGS,assembly,199,10272815852,PRJNA323589,SAMN05930394,Model organism or animal,Not applicable,5949467526,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"fasta,sra,bam","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,Block Island,SRX2313559,Illumina HiSeq 2500,BI-52,41.1818 N 71.5793 W,BI-52,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-17T00:00:00Z,BI-52,female,SRP092392,Not applicable,caudal fin
SRR4781327,Not applicable,WGS,assembly,199,15553252976,PRJNA323589,SAMN05930395,Model organism or animal,Not applicable,8583961030,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"bam,sra,fasta","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,Block Island,SRX2313560,Illumina HiSeq 2500,BI-53,41.1818 N 71.5793 W,BI-53,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-17T00:00:00Z,BI-53,female,SRP092392,Not applicable,caudal fin
SRR4781331,Not applicable,WGS,assembly,199,5041359960,PRJNA323589,SAMN05930396,Model organism or animal,Not applicable,2926309300,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"fasta,bam,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Block Island,SRX2313561,Illumina HiSeq 2500,BI-54,41.1818 N 71.5793 W,BI-54,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-54,female,SRP092392,Not applicable,caudal fin
SRR4781334,Not applicable,WGS,assembly,199,13432948896,PRJNA323589,SAMN05930397,Model organism or animal,Not applicable,7938984432,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"sra,bam,fasta","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,Block Island,SRX2313562,Illumina HiSeq 2500,BI-55,41.1818 N 71.5793 W,BI-55,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-55,female,SRP092392,Not applicable,caudal fin
SRR4781338,Not applicable,WGS,assembly,199,12968388060,PRJNA323589,SAMN05930398,Model organism or animal,Not applicable,7485967666,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"fasta,sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,Block Island,SRX2313563,Illumina HiSeq 2500,BI-56,41.1818 N 71.5793 W,BI-56,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-56,female,SRP092392,Not applicable,caudal fin
SRR4781341,Not applicable,WGS,assembly,199,7433895816,PRJNA323589,SAMN05930399,Model organism or animal,Not applicable,4172659562,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"bam,fasta,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Block Island,SRX2313564,Illumina HiSeq 2500,BI-5,41.1818 N 71.5793 W,BI-5,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-5,male,SRP092392,Not applicable,caudal fin
SRR4781346,Not applicable,WGS,assembly,199,10731418544,PRJNA323589,SAMN05930400,Model organism or animal,Not applicable,6223235560,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"bam,sra,fasta","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,Block Island,SRX2313565,Illumina HiSeq 2500,BI-6,41.1818 N 71.5793 W,BI-6,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-6,male,SRP092392,Not applicable,caudal fin
SRR4781349,Not applicable,WGS,assembly,199,5788421040,PRJNA323589,SAMN05930391,Model organism or animal,Not applicable,3362548184,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"fasta,sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,Block Island,SRX2313566,Illumina HiSeq 2500,BI-48,41.1818 N 71.5793 W,BI-48,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-48,female,SRP092392,Not applicable,caudal fin
SRR4781352,Not applicable,WGS,assembly,199,4656619832,PRJNA323589,SAMN05930392,Model organism or animal,Not applicable,2818755913,"UNIVERSITY OF CALIFORNIA, DAVIS",04-Aug-2011,public,Not applicable,"fasta,bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,Block Island,SRX2313567,Illumina HiSeq 2500,BI-49,41.1818 N 71.5793 W,BI-49,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BI-49,male,SRP092392,Not applicable,caudal fin
SRR4781355,Not applicable,WGS,assembly,199,8865530464,PRJNA323589,SAMN05930643,Model organism or animal,Not applicable,5272492585,"UNIVERSITY OF CALIFORNIA, DAVIS",22-Jul-2008,public,Not applicable,"sra,fasta,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,New Bedford Harbor,SRX2313568,Illumina HiSeq 2500,NBH-6,41.6676 N 70.9159 W,NBH-6,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,NBH-6,female,SRP092392,Not applicable,caudal fin
SRR4781361,Not applicable,WGS,assembly,202,324628140,PRJNA323589,SAMN05930428,Model organism or animal,Not applicable,342061986,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"fasta,sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,Bridgeport,SRX2313569,Illumina HiSeq 2500,BP-32,41.1570 N 73.2189 W,BP-32,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-32,male,SRP092392,Not applicable,caudal fin
SRR4781364,Not applicable,WGS,assembly,202,867929562,PRJNA323589,SAMN05930427,Model organism or animal,Not applicable,513685559,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"sra,bam,fasta","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,Bridgeport,SRX2313570,Illumina HiSeq 2500,BP-31,41.1570 N 73.2189 W,BP-31,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-31,female,SRP092392,Not applicable,caudal fin
SRR4781367,Not applicable,WGS,assembly,202,1473231046,PRJNA323589,SAMN05930430,Model organism or animal,Not applicable,687945637,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,fasta,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,Bridgeport,SRX2313571,Illumina HiSeq 2500,BP-34,41.1570 N 73.2189 W,BP-34,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-34,female,SRP092392,Not applicable,caudal fin
SRR4781370,Not applicable,WGS,assembly,202,892988066,PRJNA323589,SAMN05930429,Model organism or animal,Not applicable,508361056,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,sra,fasta","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,Bridgeport,SRX2313572,Illumina HiSeq 2500,BP-33,41.1570 N 73.2189 W,BP-33,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-33,female,SRP092392,Not applicable,caudal fin
SRR4781373,Not applicable,WGS,assembly,202,686256822,PRJNA323589,SAMN05930424,Model organism or animal,Not applicable,451083628,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,fasta,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",adult,Bridgeport,SRX2313573,Illumina HiSeq 2500,BP-29,41.1570 N 73.2189 W,BP-29,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-29,female,SRP092392,Not applicable,caudal fin
SRR4781375,Not applicable,WGS,assembly,202,257449808,PRJNA323589,SAMN05930423,Model organism or animal,Not applicable,326439561,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"fasta,sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,Bridgeport,SRX2313574,Illumina HiSeq 2500,BP-28,41.1570 N 73.2189 W,BP-28,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-28,male,SRP092392,Not applicable,caudal fin
