"ID","Species","Population","Sex","SeqData","SRA","Biosample","Coll..Date","Ext..Date","Len..mm.","Wgt..g.","ng.ul","Pop_tag","Pop_seg","ID2","dose_PCB126"
"SH-8","heteroclitus","Sandy Hook","M","WGS","SRS3333006","SAMN05930739","8/5/08","12/17/08",41.8,NA,"115.58","SH","het_AD",NA,NA
"SH-7","heteroclitus","Sandy Hook","M","WGS","SRS3333005","SAMN05930738","8/5/08","12/17/08",41.8,NA,"149.03","SH","het_AD",NA,NA
"SH-6","heteroclitus","Sandy Hook","M","WGS","SRS3333008","SAMN05930737","8/5/08","12/17/08",45.5,NA,"150.49","SH","het_AD",NA,NA
"SH-5","heteroclitus","Sandy Hook","M","WGS","SRS3333007","SAMN05930736","8/5/08","12/17/08",44.1,NA,"112.65","SH","het_AD",NA,NA
"SH-4","heteroclitus","Sandy Hook","M","WGS","SRS3333002","SAMN05930735","8/5/08","12/17/08",43,NA,"172.01","SH","het_AD",NA,NA
"SH-42","heteroclitus","Sandy Hook","F","WGS","SRS3333001","SAMN05930734","8/5/08","",40.2,NA,"138.93","SH","het_AD",NA,NA
"SH-41","heteroclitus","Sandy Hook","F","WGS","SRS3333003","SAMN05930733","8/5/08","",43.2,NA,"165.83","SH","het_AD",NA,NA
"SH-40","heteroclitus","Sandy Hook","F","WGS","SRS3333004","SAMN05930732","8/5/08","",41.1,NA,"178.80","SH","het_AD",NA,NA
"SH-3","heteroclitus","Sandy Hook","M","WGS","SRS3332999","SAMN05930731","8/5/08","12/17/08",46.3,NA,"127.96","SH","het_AD",NA,NA
"SH-39","heteroclitus","Sandy Hook","F","WGS","SRS3332998","SAMN05930730","8/5/08","12/17/08",41.1,NA,"79.35","SH","het_AD",NA,NA
"SH-38","heteroclitus","Sandy Hook","F","WGS","SRS3333058","SAMN05930729","8/5/08","12/17/08",53.1,NA,"211.63","SH","het_AD",NA,NA
"SH-37","heteroclitus","Sandy Hook","F","WGS","SRS3333057","SAMN05930728","8/5/08","12/17/08",62,NA,"134.40","SH","het_AD",NA,NA
"SH-36","heteroclitus","Sandy Hook","F","WGS","SRS3333060","SAMN05930727","8/5/08","12/17/08",69,NA,"247.59","SH","het_AD",NA,NA
"SH-35","heteroclitus","Sandy Hook","F","WGS","SRS3333059","SAMN05930726","8/5/08","12/17/08",51.6,NA,"226.30","SH","het_AD",NA,NA
"SH-34","heteroclitus","Sandy Hook","F","WGS","SRS3333054","SAMN05930725","8/5/08","12/17/08",45.5,NA,"105.01","SH","het_AD",NA,NA
"SH-33","heteroclitus","Sandy Hook","F","WGS","SRS3333053","SAMN05930724","8/5/08","12/17/08",38.6,NA,"155.44","SH","het_AD",NA,NA
"SH-32","heteroclitus","Sandy Hook","F","WGS","SRS3333056","SAMN05930723","8/5/08","12/17/08",44.8,NA,"148.01","SH","het_AD",NA,NA
"SH-31","heteroclitus","Sandy Hook","F","WGS","SRS3333055","SAMN05930722","8/5/08","12/17/08",48.3,NA,"130.71","SH","het_AD",NA,NA
"SH-30","heteroclitus","Sandy Hook","M","WGS","SRS3333051","SAMN05930721","8/5/08","",63.7,NA,"285.38","SH","het_AD",NA,NA
"SH-2","heteroclitus","Sandy Hook","M","WGS","SRS3333050","SAMN05930720","8/5/08","12/17/08",39.2,NA,"103.08","SH","het_AD",NA,NA
"SH-29","heteroclitus","Sandy Hook","M","WGS","SRS3333120","SAMN05930719","8/5/08","12/18/08",60.5,NA,"277.93","SH","het_AD",NA,NA
"SH-28","heteroclitus","Sandy Hook","M","WGS","SRS3333119","SAMN05930718","8/5/08","12/18/08",60.5,NA,"234.05","SH","het_AD",NA,NA
"SH-27","heteroclitus","Sandy Hook","M","WGS","SRS3333121","SAMN05930717","8/5/08","12/18/08",61.1,NA,"214.79","SH","het_AD",NA,NA
"SH-26","heteroclitus","Sandy Hook","M","WGS","SRS3333124","SAMN05930716","8/5/08","12/18/08",65.3,NA,"189.16","SH","het_AD",NA,NA
"SH-25","heteroclitus","Sandy Hook","M","WGS","SRS3333114","SAMN05930715","8/5/08","12/18/08",68.1,NA,"232.84","SH","het_AD",NA,NA
"SH-24","heteroclitus","Sandy Hook","M","WGS","SRS3333116","SAMN05930714","8/5/08","12/18/08",61.9,NA,"223.08","SH","het_AD",NA,NA
"SH-23","heteroclitus","Sandy Hook","M","WGS","SRS3333117","SAMN05930713","8/5/08","12/18/08",36.9,NA,"160.76","SH","het_AD",NA,NA
"SH-22","heteroclitus","Sandy Hook","M","WGS","SRS3333118","SAMN05930712","8/5/08","12/18/08",36.9,NA,"115.68","SH","het_AD",NA,NA
"SH-21","heteroclitus","Sandy Hook","M","WGS","SRS3333123","SAMN05930711","8/5/08","12/18/08",39.4,NA,"195.56","SH","het_AD",NA,NA
"SH-213","heteroclitus","Sandy Hook","F","WGS","SRS3333122","SAMN05930710","8/5/08","",63.4,NA,"154.61","SH","het_AD",NA,NA
"SH-212","heteroclitus","Sandy Hook","F","WGS","SRS3333096","SAMN05930709","8/5/08","",57.6,NA,"196.71","SH","het_AD",NA,NA
"SH-211","heteroclitus","Sandy Hook","F","WGS","SRS3333098","SAMN05930708","8/5/08","",53.6,NA,"211.79","SH","het_AD",NA,NA
