SRR4781320	BI-50
SRR4781324	BI-52
SRR4781327	BI-53
SRR4781331	BI-54
SRR4781334	BI-55
SRR4781338	BI-56
SRR4781341	BI-5
SRR4781346	BI-6
SRR4781349	BI-48
SRR4781352	BI-49
SRR4781355	NBH-6
SRR4781361	BP-32
SRR4781364	BP-31
SRR4781367	BP-34
SRR4781370	BP-33
SRR4781373	BP-29
SRR4781375	BP-28
SRR4781378	BP-30
SRR4781382	BP-2
SRR4781386	BP-27
SRR4781390	BP-26
SRR4781394	F-33
SRR4781397	F-34
SRR4781400	F-31
SRR4781403	F-32
SRR4781406	F-2
SRR4781410	F-30
SRR4781413	F-28
SRR4781415	F-29
SRR4781417	F-26
SRR4781419	F-27
SRR4781420	F-18
SRR4781426	F-17
SRR4781431	F-21
SRR4781433	F-20
SRR4781436	F-1
SRR4781439	F-19
SRR4781443	F-25
SRR4781446	F-24
SRR4781448	F-23
SRR4781454	F-22
SRR4781457	BP-24
SRR4781460	BP-25
SRR4781462	BP-22
SRR4781466	BP-23
SRR4781469	BP-20
SRR4781472	BP-21
SRR4781475	BP-19
SRR4781477	BP-1
SRR4781480	BP-17
SRR4781484	BP-18
SRR4781487	F-45
SRR4781490	F-44
SRR4781493	F-47
SRR4781495	F-46
SRR4781500	F-41
SRR4781504	F-40
SRR4781508	F-43
SRR4781511	F-42
SRR4781514	F-39
SRR4781518	F-35
SRR4781519	BP-7
SRR4781521	BP-8
SRR4781522	F-49
SRR4781524	F-4
SRR4781525	F-50
SRR4781527	F-51
SRR4781528	F-52
SRR4781530	F-53
SRR4781534	F-54
SRR4781538	F-5
SRR4781542	F-6
SRR4781545	F-7
SRR4781548	NBH-47
SRR4781552	NBH-48
SRR4781555	F-9
SRR4781558	F-8
SRR4781559	NBH-18
SRR4781561	NBH-17
SRR4781562	NBH-16
SRR4781565	NBH-14
SRR4781566	NBH-13
SRR4781568	NBH-12
SRR4781570	NBH-11
SRR4781572	NBH-10
SRR4781574	BI-23
SRR4781576	BI-22
SRR4781578	BI-21
SRR4781581	BI-20
SRR4781585	BI-27
SRR4781591	BI-26
SRR4781593	BI-25
SRR4781596	BI-24
SRR4781599	NBH-49
SRR4781604	NBH-4
SRR4781607	NBH-56
SRR4781608	NBH-5
SRR4781610	BI-19
SRR4781612	BI-17
SRR4781614	NBH-8
SRR4781616	NBH-9
SRR4781618	BP-48
SRR4781621	BP-47
SRR4781626	BP-51
SRR4781629	BP-50
SRR4781633	BP-4
SRR4781638	BP-49
SRR4781642	BP-6
SRR4781646	BP-5
SRR4781651	BP-53
SRR4781655	BP-52
SRR4781657	NBH-7
SRR4781660	BI-39
SRR4781666	BI-38
SRR4781671	BI-41
SRR4781675	BI-40
SRR4781678	BI-43
SRR4781682	BI-42
SRR4781684	BI-45
SRR4781694	BI-44
SRR4781696	BI-47
SRR4781697	BI-46
SRR4781699	NBH-19
SRR4781701	NBH-1
SRR4781702	NBH-22
SRR4781704	NBH-23
SRR4781705	NBH-20
SRR4781707	NBH-21
SRR4781709	NBH-26
SRR4781711	NBH-27
SRR4781713	NBH-24
SRR4781714	NBH-25
SRR4781716	BI-11
SRR4781718	BI-12
SRR4781720	BI-14
SRR4781721	BI-15
SRR4781722	F-13
SRR4781723	BI-10
SRR4781724	BP-38
SRR4781725	BP-39
SRR4781726	BP-43
SRR4781728	BP-44
SRR4781730	BP-45
SRR4781731	BP-46
SRR4781733	BP-3
SRR4781735	BP-40
SRR4781736	BP-41
SRR4781738	BP-42
SRR4781740	F-14
SRR4781741	BI-28
SRR4781743	BI-29
SRR4781745	BI-32
SRR4781747	BI-33
SRR4781748	BI-2
SRR4781750	BI-30
SRR4781752	BI-36
SRR4781753	BI-37
SRR4781755	BI-34
SRR4781756	BI-35
SRR4781758	NBH-29
SRR4781760	NBH-28
SRR4781761	NBH-30
SRR4781763	NBH-2
SRR4781765	NBH-32
SRR4781766	NBH-31
SRR4781769	NBH-34
SRR4781770	NBH-33
SRR4781772	NBH-36
SRR4781773	NBH-35
SRR4781775	BI-8
SRR4781777	BI-7
SRR4781780	F-15
SRR4781784	F-16
SRR4781789	BP-9
SRR4781792	F-10
SRR4781793	F-11
SRR4781796	F-12
SRR4781798	BP-16
SRR4781801	BP-15
SRR4781802	BP-14
SRR4781804	BP-13
SRR4781806	BP-12
SRR4781808	BP-11
SRR4781810	BP-10
SRR4781812	BI-9
SRR4781814	NBH-37
SRR4781816	NBH-38
SRR4781818	NBH-43
SRR4781820	NBH-44
SRR4781821	NBH-45
SRR4781823	NBH-46
SRR4781824	NBH-39
SRR4781826	NBH-40
SRR4781828	NBH-41
SRR4781830	NBH-42
SRR7208803	NYC-47
SRR7208804	NYC-49
SRR7208805	NYC-48
SRR7208806	NYC-51
SRR7208807	NYC-50
SRR7208808	NYC-53
SRR7208809	NYC-52
SRR7208810	NYC-55
SRR7208811	NYC-54
SRR7208812	NYC-9
SRR7208813	NYC-8
SRR7208814	ER-42
SRR7208815	ER-41
SRR7208816	ER-44
SRR7208817	ER-43
SRR7208818	ER-46
SRR7208819	ER-45
SRR7208820	ER-48
SRR7208821	ER-47
SRR7208822	ER-50
SRR7208823	ER-49
SRR7208824	NYC-33
SRR7208825	NYC-34
SRR7208826	SH-213
SRR7208827	SH-21
SRR7208828	SH-26
SRR7208829	SH-27
SRR7208830	SH-28
SRR7208831	SH-29
SRR7208832	SH-22
SRR7208833	SH-23
SRR7208834	SH-24
SRR7208835	SH-25
SRR7208836	NYC-13
SRR7208837	NYC-14
SRR7208838	ER-51
SRR7208839	ER-52
SRR7208840	ER-55
SRR7208841	ER-56
SRR7208842	ER-53
SRR7208843	ER-54
SRR7208844	ER-59
SRR7208845	ER-60
SRR7208846	ER-57
SRR7208847	ER-58
SRR7208848	KC-55
SRR7208849	SH-209
SRR7208850	SH-208
SRR7208851	SH-207
SRR7208852	SH-206
SRR7208853	SH-212
SRR7208854	SH-211
SRR7208855	SH-210
SRR7208856	SH-20
SRR7208857	KC-9
SRR7208858	SH-205
SRR7208859	SH-204
SRR7208860	KC-13
SRR7208861	KC-11
SRR7208862	NYC-32
SRR7208863	KC-54
SRR7208864	NYC-11
SRR7208865	KC-22
SRR7208866	KC-20
SRR7208867	KC-1
SRR7208868	KC-19
SRR7208869	KC-18
SRR7208870	KC-16
SRR7208871	KC-15
SRR7208872	KC-14
SRR7208873	KC-56
SRR7208874	KC-7
SRR7208875	KC-6
SRR7208876	NYC-31
SRR7208877	NYC-21
SRR7208878	KC-27
SRR7208879	KC-28
SRR7208880	KC-29
SRR7208881	KC-2
SRR7208882	KC-30
SRR7208883	KC-32
SRR7208884	KC-33
SRR7208885	KC-34
SRR7208886	KC-23
SRR7208887	KC-26
